id_Cliente,Idade,Genero,Ganho_Anual_(USD),Ganho_Mensal,Nivel_Escolar,Tempo_Uso_Redes_Sociais,Plataforma_de_Uso,Grau_de_Influencia,Decisao_de_Compra,Categoria_do_Produto,Produto,Total_Gasto (USD),Marca,Cidade
65,36,Masculino,70000,5833,Graduacao,2.7,"Facebook, Twitter",Alguma_Influencia,Sim,Fitness,Weight Bench,180,"Bowflex, Weider",San Diego
66,28,Feminino,48000,4000,Graduacao,2.5,"TikTok, Snapchat",Alguma_Influencia,Sim,Fashion,Dress,120,"Zara, Forever 21",Chicago
67,31,Masculino,63000,5250,Graduacao,2.8,"Instagram, Facebook",Muito_influenciavel,Sim,Electronics,Drone,350,"DJI, GoPro",New York
68,29,Feminino,54000,4500,Mestrado,2.7,"Pinterest, Instagram",Alguma_Influencia,Sim,Home Decor,Throw Pillows,60,"IKEA, Target",Los Angeles
69,27,Masculino,52000,4333,Graduacao,2.3,"Twitter, TikTok",Alguma_Influencia,Sim,Fitness,Resistance Bands,30,"Bodylastics, Fit Simplify",Seattle
70,29,Feminino,55000,4583,Graduacao,2.4,"Instagram, Twitter",Alguma_Influencia,Sim,Beauty,Hair Dryer,50,"Dyson, Conair",Miami
71,32,Masculino,63000,5250,Graduacao,2.5,"Instagram, Facebook",Alguma_Influencia,Sim,Electronics,Laptop,900,"Dell, HP",San Francisco
72,28,Feminino,48000,4000,Graduacao,2.0,"TikTok, Snapchat",Alguma_Influencia,Sim,Beauty,Nail Polish,20,"Essie, OPI",Chicago
73,30,Masculino,56000,4667,Graduacao,2.7,"Facebook, Twitter",Alguma_Influencia,Sim,Home Decor,Bedding,150,"IKEA, Target",Phoenix
74,33,Feminino,62000,5167,Mestrado,2.8,"Instagram, TikTok",Muito_influenciavel,Sim,Fashion,T-shirt,30,"Uniqlo, Gap",Austin
75,27,Masculino,51000,4250,Graduacao,2.2,"Twitter, Snapchat",Alguma_Influencia,Sim,Electronics,Smartphone,750,"Samsung, Google",New York
76,28,Feminino,50000,4167,Graduacao,2.3,"Instagram, TikTok",Alguma_Influencia,Sim,Beauty,Mascara,25,"Maybelline, L'Oréal",Los Angeles
77,35,Masculino,68000,5667,Graduacao,3.0,"LinkedIn, Twitter",Muito_influenciavel,Sim,Fitness,Home Gym Equipment,1000,"Bowflex, NordicTrack",Seattle
78,29,Feminino,54000,4500,Mestrado,2.5,"Facebook, Instagram",Muito_influenciavel,Sim,Home Decor,Lighting,200,"Philips, IKEA",Miami
79,31,Masculino,60000,5000,Graduacao,2.9,"Instagram, Twitter",Muito_influenciavel,Sim,Electronics,Smartwatch,400,"Apple, Garmin",San Francisco
80,26,Feminino,46000,3833,Graduacao,2.2,"TikTok, Snapchat",Alguma_Influencia,Sim,Fashion,Jeans,60,"Levi's, H&M",Chicago
81,28,Masculino,52000,4333,Mestrado,2.8,"Instagram, Pinterest",Alguma_Influencia,Sim,Beauty,Skincare,70,"Neutrogena, CeraVe",New York
82,29,Feminino,54000,4500,Mestrado,2.9,"Facebook, TikTok",Muito_influenciavel,Sim,Fitness,Yoga Mat,25,"Gaiam, Manduka",Austin
83,33,Masculino,62000,5167,Graduacao,2.7,"Twitter, LinkedIn",Alguma_Influencia,Sim,Electronics,Soundbar,250,"Bose, Sonos",Houston
84,27,Feminino,52000,4333,Mestrado,2.6,"Instagram, Pinterest",Muito_influenciavel,Sim,Home Decor,Wall Art,120,"IKEA, Wayfair",Los Angeles
85,32,Masculino,66000,5500,Doutorado,3.2,"LinkedIn, Twitter",Muito_influenciavel,Sim,Beauty,Lip Gloss,35,"Fenty Beauty, NYX",San Diego
86,25,Feminino,42000,3500,Ensino_Medio,4.0,"Snapchat, Instagram",Nao_Influenciavel,Nao,Indefinido,Nao convertido,0,Indefinido,Boston
87,29,Masculino,58000,4833,Graduacao,2.4,"TikTok, Snapchat",Alguma_Influencia,Sim,Electronics,Bluetooth Speaker,50,"JBL, Sony",Seattle
88,30,Feminino,57000,4750,Mestrado,3.0,"Facebook, Instagram",Muito_influenciavel,Sim,Fashion,Dress,80,"Zara, H&M",Chicago
89,34,Masculino,70000,5833,Graduacao,2.8,"Instagram, Twitter",Alguma_Influencia,Sim,Home Decor,Throw Pillows,40,"IKEA, Target",New York
90,23,Feminino,36000,3000,Ensino_Medio,4.5,"TikTok, Snapchat",Nao_Influenciavel,Nao,Indefinido,Nao convertido,0,Indefinido,Los Angeles
91,27,Masculino,52000,4333,Graduacao,2.1,"Facebook, Twitter",Alguma_Influencia,Sim,Electronics,Gaming Console,350,"Sony, Microsoft",Seattle
92,28,Feminino,48000,4000,Graduacao,2.2,"Instagram, Pinterest",Alguma_Influencia,Sim,Fitness,Resistance Bands,20,"Bodylastics, Fit Simplify",Boston
93,32,Masculino,64000,5333,Graduacao,2.9,"Twitter, Instagram",Muito_influenciavel,Sim,Beauty,Foundation,25,"Maybelline, CoverGirl",Miami
94,27,Masculino,53000,4417,Graduacao,2.4,"TikTok, Snapchat",Alguma_Influencia,Sim,Home Decor,Kitchen Appliances,400,"KitchenAid, Cuisinart",Phoenix
95,29,Feminino,55000,4583,Mestrado,2.6,"Instagram, Facebook",Alguma_Influencia,Sim,Fashion,Sunglasses,50,"Ray-Ban, Oakley",San Francisco
96,33,Masculino,67000,5583,Doutorado,3.1,"LinkedIn, Twitter",Muito_influenciavel,Sim,Electronics,Camera,800,"Canon, Nikon",Los Angeles
97,28,Feminino,49000,4083,Graduacao,2.7,"Facebook, TikTok",Alguma_Influencia,Sim,Home Decor,Rugs,90,"IKEA, Wayfair",Seattle
98,25,Masculino,44000,3667,Graduacao,2.3,"Instagram, Twitter",Alguma_Influencia,Sim,Electronics,Smart Speaker,60,"Amazon Echo, Google Home",Chicago
99,27,Feminino,51000,4250,Mestrado,2.8,"Pinterest, Instagram",Muito_influenciavel,Sim,Beauty,Lipstick,30,"MAC Cosmetics, Revlon",Boston
100,30,Masculino,58000,4833,Graduacao,2.5,"Twitter, Snapchat",Alguma_Influencia,Sim,Fitness,Dumbbells,40,"Bowflex, NordicTrack",Miami
101,32,Masculino,63000,5250,Graduacao,2.4,"Instagram, Facebook",Alguma_Influencia,Sim,Fashion,Sneakers,90,"Nike, Adidas",Austin
102,29,Feminino,54000,4500,Mestrado,2.7,"TikTok, Snapchat",Alguma_Influencia,Sim,Home Decor,Curtains,40,"IKEA, Target",Miami
103,35,Masculino,68000,5667,Graduacao,2.9,"Facebook, Twitter",Muito_influenciavel,Sim,Electronics,Laptop,800,"Apple, Dell",Los Angeles
104,28,Feminino,48000,4000,Graduacao,2.2,"Instagram, Pinterest",Alguma_Influencia,Sim,Beauty,Mascara,15,"Maybelline, L'Oréal",New York
105,31,Masculino,60000,5000,Graduacao,2.6,"Twitter, Snapchat",Alguma_Influencia,Sim,Fitness,Treadmill,850,"NordicTrack, Peloton",Chicago
106,27,Feminino,52000,4333,Graduacao,2.8,"Instagram, TikTok",Alguma_Influencia,Sim,Home Decor,Wall Art,60,"IKEA, Wayfair",Boston
107,32,Masculino,62000,5167,Graduacao,2.5,"Facebook, LinkedIn",Muito_influenciavel,Sim,Fashion,Jeans,70,"Levi's, H&M",Seattle
108,29,Feminino,55000,4583,Mestrado,3.0,"Pinterest, Instagram",Muito_influenciavel,Sim,Beauty,Lipstick,25,"MAC Cosmetics, Revlon",San Francisco
109,33,Masculino,64000,5333,Doutorado,3.1,"Twitter, LinkedIn",Muito_influenciavel,Sim,Home Decor,Throw Pillows,45,"IKEA, Target",Houston
110,26,Feminino,46000,3833,Graduacao,2.3,"TikTok, Snapchat",Alguma_Influencia,Sim,Electronics,Smartphone,750,"Samsung, iPhone",Phoenix
111,28,Masculino,52000,4333,Mestrado,2.7,"Instagram, Pinterest",Alguma_Influencia,Sim,Fitness,Yoga Mat,25,"Gaiam, Manduka",Miami
112,29,Feminino,54000,4500,Mestrado,2.8,"Facebook, TikTok",Muito_influenciavel,Sim,Fashion,Dress,50,"Zara, H&M",Los Angeles
113,33,Masculino,62000,5167,Graduacao,2.5,"Instagram, Twitter",Alguma_Influencia,Sim,Electronics,Smart Speaker,70,"Amazon Echo, Google Home",Seattle
114,27,Feminino,52000,4333,Mestrado,2.9,"Pinterest, Instagram",Muito_influenciavel,Sim,Home Decor,Bedding,110,"IKEA, Target",Chicago
115,32,Masculino,63000,5250,Doutorado,3.2,"LinkedIn, Twitter",Muito_influenciavel,Sim,Beauty,Foundation,35,"Fenty Beauty, Maybelline",New York
116,25,Feminino,44000,3667,Graduacao,2.1,"Snapchat, Instagram",Alguma_Influencia,Sim,Fitness,Dumbbells,30,"Bowflex, NordicTrack",Austin
117,29,Masculino,58000,4833,Graduacao,2.4,"TikTok, Snapchat",Alguma_Influencia,Sim,Home Decor,Lighting,80,"Philips, IKEA",San Diego
118,30,Feminino,57000,4750,Mestrado,2.9,"Facebook, Instagram",Muito_influenciavel,Sim,Fashion,T-shirt,20,"Uniqlo, Gap",Boston
119,34,Masculino,70000,5833,Graduacao,3.1,"Instagram, Twitter",Alguma_Influencia,Sim,Electronics,Camera,600,"Canon, Sony",Miami
120,23,Feminino,36000,3000,Ensino_Medio,4.0,"TikTok, Snapchat",Nao_Influenciavel,Nao,Indefinido,Nao convertido,0,Indefinido,Los Angeles
121,27,Masculino,52000,4333,Graduacao,2.2,"Instagram, Facebook",Alguma_Influencia,Sim,Fashion,Sunglasses,60,"Ray-Ban, Oakley",Seattle
122,30,Feminino,58000,4833,Mestrado,2.6,"Pinterest, Instagram",Alguma_Influencia,Sim,Home Decor,Rugs,70,"IKEA, Wayfair",Austin
123,29,Masculino,55000,4583,Graduacao,2.4,"TikTok, Snapchat",Alguma_Influencia,Sim,Electronics,Wireless Earbuds,50,"Apple, Sony",New York
124,33,Feminino,63000,5250,Doutorado,2.9,"Facebook, Twitter",Muito_influenciavel,Sim,Beauty,Lip Gloss,25,"Fenty Beauty, NYX",San Francisco
125,28,Masculino,45000,3750,Graduacao,2.2,"Instagram, Pinterest",Alguma_Influencia,Sim,Fitness,Home Gym Equipment,900,"Bowflex, NordicTrack",Chicago
126,27,Feminino,49000,4083,Graduacao,2.5,"TikTok, Snapchat",Alguma_Influencia,Sim,Home Decor,Throw Pillows,35,"IKEA, Target",Los Angeles
127,32,Masculino,62000,5167,Graduacao,2.8,"Instagram, TikTok",Muito_influenciavel,Sim,Fashion,Hoodie,40,"Nike, Adidas",Seattle
128,29,Feminino,54000,4500,Mestrado,3.0,"Facebook, Instagram",Muito_influenciavel,Sim,Electronics,Smart Speaker,70,"Amazon Echo, Google Home",Miami
129,33,Masculino,64000,5333,Doutorado,3.1,"Twitter, LinkedIn",Muito_influenciavel,Sim,Home Decor,Wall Clock,40,"IKEA, Howard Miller",Houston
130,26,Feminino,46000,3833,Graduacao,2.3,"Instagram, TikTok",Alguma_Influencia,Sim,Electronics,Gaming Console,400,"Sony, Microsoft",Phoenix
131,28,Masculino,52000,4333,Mestrado,2.7,"Instagram, Pinterest",Alguma_Influencia,Sim,Fitness,Resistance Bands,15,"Bodylastics, Fit Simplify",Miami
132,29,Feminino,54000,4500,Mestrado,2.8,"Facebook, TikTok",Muito_influenciavel,Sim,Fashion,Dress,25,"Zara, H&M",Los Angeles
133,33,Masculino,62000,5167,Graduacao,2.5,"Instagram, Twitter",Alguma_Influencia,Sim,Electronics,Smartwatch,120,"Apple, Garmin",Boston
134,27,Feminino,52000,4333,Mestrado,2.9,"Pinterest, Instagram",Muito_influenciavel,Sim,Home Decor,Wall Art,50,"IKEA, Wayfair",Seattle
135,32,Masculino,63000,5250,Doutorado,3.2,"LinkedIn, Twitter",Muito_influenciavel,Sim,Beauty,Mascara,20,"Maybelline, L'Oréal",San Diego
136,25,Feminino,44000,3667,Graduacao,2.1,"Snapchat, Instagram",Alguma_Influencia,Sim,Home Decor,Bedding,70,"IKEA, Target",Chicago
137,29,Masculino,58000,4833,Graduacao,2.4,"TikTok, Snapchat",Alguma_Influencia,Sim,Fashion,Jeans,50,"Levi's, H&M",New York
138,30,Feminino,57000,4750,Mestrado,2.9,"Facebook, Instagram",Muito_influenciavel,Sim,Fitness,Yoga Mat,15,"Gaiam, Manduka",Austin
139,34,Masculino,70000,5833,Graduacao,3.1,"Instagram, Twitter",Alguma_Influencia,Sim,Electronics,Wireless Earbuds,40,"Apple, Sony",Los Angeles
140,23,Feminino,36000,3000,Ensino_Medio,4.0,"TikTok, Snapchat",Nao_Influenciavel,Nao,Indefinido,Nao convertido,0,Indefinido,New York
141,33,Masculino,64000,5333,Doutorado,2.8,"Twitter, Instagram",Alguma_Influencia,Sim,Home Decor,Throw Pillows,40,"IKEA, Target",Phoenix
142,29,Feminino,54000,4500,Mestrado,2.7,"Instagram, TikTok",Alguma_Influencia,Sim,Electronics,Soundbar,120,"Bose, Sonos",Miami
143,34,Masculino,70000,5833,Graduacao,3.0,"Facebook, Twitter",Muito_influenciavel,Sim,Beauty,Lipstick,15,"MAC Cosmetics, Revlon",Los Angeles
144,28,Feminino,48000,4000,Graduacao,2.5,"TikTok, Snapchat",Alguma_Influencia,Sim,Fitness,Treadmill,800,"NordicTrack, Peloton",Seattle
145,27,Masculino,52000,4333,Graduacao,2.2,"Twitter, Snapchat",Alguma_Influencia,Sim,Fashion,Dress,40,"Zara, H&M",San Francisco
146,30,Feminino,57000,4750,Mestrado,2.9,"Pinterest, Instagram",Muito_influenciavel,Sim,Home Decor,Wall Art,25,"IKEA, Wayfair",Boston
147,33,Masculino,62000,5167,Graduacao,2.6,"Facebook, LinkedIn",Alguma_Influencia,Sim,Electronics,Smartwatch,200,"Apple, Garmin",Houston
148,28,Feminino,50000,4167,Graduacao,2.4,"Instagram, Pinterest",Alguma_Influencia,Sim,Fitness,Dumbbells,30,"Bowflex, NordicTrack",Chicago
149,27,Masculino,53000,4417,Graduacao,2.7,"TikTok, Snapchat",Alguma_Influencia,Sim,Home Decor,Kitchen Appliances,450,"KitchenAid, Cuisinart",Los Angeles
150,30,Feminino,58000,4833,Mestrado,2.8,"Facebook, Instagram",Muito_influenciavel,Sim,Fashion,Sneakers,70,"Nike, Adidas",Seattle
151,34,Masculino,68000,5667,Doutorado,2.9,"Twitter, LinkedIn",Muito_influenciavel,Sim,Electronics,Smartphone,900,"Samsung, iPhone",Miami
152,29,Feminino,54000,4500,Mestrado,2.5,"Instagram, TikTok",Alguma_Influencia,Sim,Beauty,Mascara,20,"Maybelline, L'Oréal",Austin
153,33,Masculino,62000,5167,Graduacao,2.7,"Instagram, Twitter",Alguma_Influencia,Sim,Home Decor,Throw Pillows,50,"IKEA, Target",San Francisco
154,27,Feminino,52000,4333,Mestrado,2.6,"Pinterest, Instagram",Muito_influenciavel,Sim,Fashion,Jeans,60,"Levi's, H&M",Chicago
155,32,Masculino,63000,5250,Doutorado,3.0,"LinkedIn, Twitter",Muito_influenciavel,Sim,Electronics,Bluetooth Speaker,60,"JBL, Sony",New York
156,25,Feminino,44000,3667,Graduacao,2.4,"Snapchat, Instagram",Alguma_Influencia,Sim,Beauty,Skincare,35,"Neutrogena, CeraVe",Austin
157,29,Masculino,55000,4583,Graduacao,2.8,"TikTok, Snapchat",Alguma_Influencia,Sim,Electronics,Gaming Console,350,"Sony, Microsoft",Los Angeles
158,30,Feminino,57000,4750,Mestrado,2.9,"Facebook, Instagram",Muito_influenciavel,Sim,Home Decor,Curtains,40,"IKEA, Target",Seattle
159,34,Masculino,70000,5833,Graduacao,3.1,"Instagram, Twitter",Alguma_Influencia,Sim,Fitness,Yoga Mat,25,"Gaiam, Manduka",Miami
160,23,Feminino,36000,3000,Ensino_Medio,4.0,"TikTok, Snapchat",Nao_Influenciavel,Nao,Indefinido,Nao convertido,0,Indefinido,Los Angeles
161,29,Masculino,55000,4583,Graduacao,2.5,"Instagram, Facebook",Alguma_Influencia,Sim,Electronics,Headphones,100,"Sony, Bose",San Diego
162,28,Feminino,48000,4000,Graduacao,2.4,"TikTok, Snapchat",Alguma_Influencia,Sim,Beauty,Nail Polish,10,"Essie, OPI",New York
163,30,Masculino,56000,4667,Graduacao,2.6,"Facebook, Twitter",Alguma_Influencia,Sim,Home Decor,Bedding,120,"IKEA, Target",Austin
164,33,Feminino,62000,5167,Mestrado,2.8,"Instagram, TikTok",Muito_influenciavel,Sim,Fashion,T-shirt,20,"Uniqlo, Gap",Seattle
165,27,Masculino,51000,4250,Graduacao,2.3,"Twitter, Snapchat",Alguma_Influencia,Sim,Electronics,Smartphone,800,"Samsung, iPhone",Miami
166,28,Feminino,52000,4333,Graduacao,2.4,"Instagram, TikTok",Alguma_Influencia,Sim,Beauty,Mascara,15,"Maybelline, L'Oréal",Chicago
167,32,Masculino,63000,5250,Graduacao,2.7,"Facebook, LinkedIn",Muito_influenciavel,Sim,Fitness,Home Gym Equipment,900,"Bowflex, NordicTrack",New York
168,29,Feminino,54000,4500,Mestrado,2.5,"Pinterest, Instagram",Muito_influenciavel,Sim,Home Decor,Lighting,70,"Philips, IKEA",San Francisco
169,31,Masculino,60000,5000,Graduacao,2.9,"Instagram, Twitter",Muito_influenciavel,Sim,Electronics,Smartwatch,300,"Apple, Garmin",Chicago
170,26,Feminino,46000,3833,Graduacao,2.2,"TikTok, Snapchat",Alguma_Influencia,Sim,Fashion,Jeans,40,"Levi's, H&M",Houston
