ID_Usuário,Idade,País,Assinaturas,Tempo_assistido,Genero_favorito,Ultimo_Login
144,38,France,Basico,999.14,Comedia,2024-06-11
145,80,Germany,Padrao,766.11,Romance,2024-11-15
146,76,Germany,Basico,689.16,Acao,2025-02-23
147,14,Brazil,Padrao,702.52,Acao,2024-08-09
148,51,India,Basico,975.55,Ficcao cientifica,2025-02-13
149,32,India,Basico,670.83,Acao,2024-04-01
150,56,Brazil,Premium,342.26,Drama,2024-08-08
151,34,UK,Basico,846.85,Documentario,2024-10-18
152,55,Australia,Premium,558.87,Romance,2024-10-14
153,52,Brazil,Basico,989.34,Acao,2024-05-11
154,15,Japan,Basico,835.1,Romance,2024-08-12
155,70,USA,Basico,242.26,Horror,2024-07-10
156,76,Canada,Basico,759.5,Ficcao cientifica,2024-10-31
157,51,Brazil,Premium,507.15,Documentario,2024-06-21
158,42,Japan,Premium,269.42,Documentario,2024-06-20
159,58,UK,Premium,153.32,Comedia,2024-09-16
160,50,USA,Basico,457.19,Drama,2024-05-15
161,79,Brazil,Padrao,799.77,Comedia,2024-07-10
162,57,Australia,Basico,934.12,Documentario,2025-03-07
163,61,Germany,Basico,961.56,Ficcao cientifica,2024-04-15
164,49,Australia,Basico,478.8,Drama,2024-06-03
165,24,Brazil,Padrao,56.21,Documentario,2024-08-23
166,76,Japan,Basico,885.8,Comedia,2024-09-14
167,54,UK,Basico,14.28,Horror,2025-02-23
168,45,Canada,Premium,580.9,Ficcao cientifica,2024-10-04
169,43,USA,Basico,566.29,Documentario,2024-07-23
170,43,Canada,Padrao,358.64,Horror,2024-12-25
171,50,Australia,Premium,826.06,Acao,2024-03-21
172,46,USA,Padrao,893.69,Horror,2024-08-20
173,43,Germany,Basico,737.2,Acao,2024-07-17
174,18,Canada,Premium,72.54,Drama,2024-09-15
175,53,Mexico,Basico,741.62,Acao,2024-12-03
176,26,UK,Basico,945.3,Ficcao cientifica,2025-02-11
177,78,Canada,Padrao,46.3,Acao,2024-10-20
178,79,India,Premium,466.93,Horror,2025-03-07
179,40,France,Basico,866.49,Horror,2024-09-28
180,26,India,Padrao,192.61,Horror,2024-10-08
181,47,Canada,Premium,414.81,Comedia,2024-10-19
182,63,Japan,Padrao,332.14,Drama,2024-11-30
183,25,India,Premium,531.46,Romance,2024-07-30
184,20,Australia,Premium,260.06,Acao,2025-03-05
185,78,Australia,Basico,301.54,Drama,2024-10-27
186,63,India,Basico,870.79,Ficcao cientifica,2025-03-05
187,60,France,Padrao,553.57,Documentario,2024-08-13
188,14,Mexico,Basico,792.96,Drama,2025-03-02
189,78,Japan,Padrao,982.44,Documentario,2024-06-02
190,30,Germany,Basico,174.99,Documentario,2025-01-18
191,67,Australia,Padrao,727.39,Ficcao cientifica,2024-10-31
192,40,Brazil,Premium,3.69,Ficcao cientifica,2025-01-07
193,38,India,Premium,455.69,Ficcao cientifica,2024-12-25
194,57,Australia,Padrao,956.44,Comedia,2025-01-09
195,34,Germany,Padrao,109.93,Horror,2024-07-11
196,33,Australia,Basico,748.3,Horror,2024-03-12
197,39,Australia,Basico,914.92,Acao,2024-09-19
198,18,UK,Premium,747.86,Documentario,2025-02-08
199,72,Mexico,Basico,235.91,Romance,2024-05-02
200,49,Germany,Premium,749.77,Romance,2024-08-20
201,66,Germany,Basico,628.14,Comedia,2024-04-28
202,80,USA,Padrao,776.4,Acao,2024-08-05
203,75,UK,Basico,838.37,Documentario,2024-08-15
204,48,Brazil,Basico,222.55,Drama,2024-06-09
205,16,Canada,Basico,701.24,Acao,2024-08-03
206,40,Australia,Padrao,444.18,Drama,2025-02-18
207,53,India,Premium,883.16,Acao,2024-10-24
208,23,Mexico,Padrao,287.09,Drama,2024-12-04
209,52,Japan,Premium,745.62,Drama,2024-11-16
210,51,USA,Basico,366.11,Drama,2024-06-14
211,41,Germany,Basico,800.18,Horror,2024-07-23
212,68,Mexico,Premium,218.0,Horror,2024-10-20
213,62,India,Basico,811.94,Comedia,2024-06-16
214,59,UK,Padrao,154.17,Ficcao cientifica,2025-01-20
215,40,Mexico,Padrao,538.64,Ficcao cientifica,2025-01-29
216,21,Japan,Premium,952.42,Drama,2024-09-01
217,38,Canada,Premium,60.01,Documentario,2024-11-10
218,55,Brazil,Basico,31.08,Romance,2025-03-02
219,68,UK,Padrao,769.68,Drama,2024-12-07
220,13,Canada,Premium,205.73,Drama,2024-08-09
221,23,Canada,Premium,449.56,Romance,2024-10-27
222,26,France,Padrao,324.19,Horror,2024-04-07
223,29,Mexico,Basico,349.96,Documentario,2024-06-06
224,76,Australia,Padrao,484.18,Acao,2024-06-27
225,80,UK,Basico,691.81,Documentario,2024-05-24
226,20,Brazil,Padrao,641.48,Drama,2024-07-21
227,29,India,Premium,462.73,Documentario,2024-06-16
228,36,Canada,Premium,655.31,Acao,2024-08-05
229,42,Japan,Premium,630.76,Ficcao cientifica,2024-03-19
230,50,USA,Basico,20.48,Horror,2024-12-26
231,70,Canada,Basico,857.43,Acao,2025-02-27
232,24,India,Padrao,23.35,Romance,2024-04-25
233,57,Japan,Padrao,52.82,Ficcao cientifica,2024-05-28
234,45,USA,Basico,332.26,Drama,2024-10-03
235,72,Germany,Basico,54.61,Horror,2024-04-18
236,51,Mexico,Basico,438.98,Horror,2024-09-23
237,20,Brazil,Padrao,539.58,Acao,2024-06-06
238,21,India,Padrao,959.06,Comedia,2024-11-23
239,14,Japan,Padrao,45.63,Drama,2025-01-04
240,42,Mexico,Padrao,903.41,Drama,2025-02-01
241,45,Australia,Basico,687.91,Comedia,2024-06-29
242,57,India,Padrao,561.13,Romance,2025-01-14
243,74,Brazil,Basico,675.0,Acao,2024-10-20
244,18,UK,Padrao,890.77,Romance,2024-06-23
245,35,UK,Padrao,746.89,Horror,2025-01-21
246,61,Australia,Premium,138.06,Acao,2024-07-29
247,77,UK,Padrao,225.61,Acao,2024-03-19
248,57,Brazil,Padrao,394.56,Acao,2024-04-03
249,73,Canada,Basico,902.54,Ficcao cientifica,2024-06-28
250,58,France,Basico,491.04,Romance,2024-11-04
251,26,France,Basico,83.59,Ficcao cientifica,2024-11-21
252,31,India,Basico,449.45,Ficcao cientifica,2025-02-20
253,35,Australia,Basico,418.9,Horror,2024-06-25
254,27,Canada,Padrao,331.1,Acao,2025-03-06
255,17,Japan,Premium,508.92,Drama,2024-04-01
256,62,Canada,Premium,272.88,Documentario,2024-09-27
257,50,France,Padrao,362.15,Horror,2024-07-20
258,31,Germany,Premium,934.33,Romance,2024-11-15
259,69,Japan,Premium,109.87,Documentario,2024-04-05
260,67,USA,Padrao,747.73,Comedia,2024-10-05
261,52,Canada,Padrao,674.12,Horror,2024-08-11
262,62,Germany,Padrao,958.8,Documentario,2025-02-26
263,20,India,Premium,107.38,Documentario,2024-05-26
264,20,Mexico,Basico,901.22,Horror,2024-09-30
265,55,Brazil,Basico,441.32,Drama,2024-06-10
266,65,India,Basico,233.67,Acao,2025-02-23
267,63,Japan,Padrao,42.36,Horror,2024-11-08
268,50,Australia,Premium,220.24,Documentario,2024-12-03
269,49,Japan,Premium,756.54,Documentario,2024-08-21
270,19,Australia,Padrao,308.63,Ficcao cientifica,2024-11-20
271,60,India,Premium,165.43,Acao,2025-02-15
272,21,Japan,Premium,710.05,Ficcao cientifica,2024-06-18
273,68,Brazil,Basico,875.2,Comedia,2024-08-05
274,15,Mexico,Premium,151.14,Documentario,2025-02-24
275,57,Brazil,Premium,426.41,Romance,2024-08-07
276,75,UK,Padrao,390.05,Drama,2025-02-18
277,20,Germany,Premium,599.78,Documentario,2024-06-18
278,37,UK,Premium,700.62,Documentario,2025-01-16
279,24,Australia,Basico,520.73,Drama,2024-05-17
280,43,USA,Premium,8.58,Documentario,2024-12-15
281,16,UK,Basico,596.5,Horror,2024-07-18
282,56,USA,Padrao,639.06,Comedia,2024-08-04
283,23,Australia,Premium,133.63,Comedia,2024-05-31
284,61,UK,Padrao,557.79,Comedia,2025-03-07
285,45,Australia,Premium,387.32,Romance,2024-03-16
286,18,Mexico,Basico,712.33,Drama,2024-03-25
287,24,Germany,Padrao,168.27,Ficcao cientifica,2024-05-09
288,45,Germany,Padrao,996.64,Ficcao cientifica,2024-03-10
289,48,UK,Basico,68.93,Romance,2025-01-11
290,43,France,Padrao,903.68,Drama,2024-11-29
291,59,Germany,Padrao,44.63,Ficcao cientifica,2024-07-01
292,25,Australia,Padrao,264.82,Ficcao cientifica,2024-07-12
293,75,Brazil,Premium,490.78,Ficcao cientifica,2025-02-23
294,40,Brazil,Basico,496.6,Documentario,2024-04-14
295,21,USA,Padrao,887.22,Horror,2024-06-16
296,40,USA,Premium,747.98,Comedia,2024-11-06
297,24,India,Padrao,374.22,Romance,2024-12-26
298,52,Australia,Padrao,291.13,Horror,2025-03-03
299,54,Mexico,Padrao,342.12,Romance,2024-11-24
300,35,India,Premium,377.51,Romance,2024-10-23
301,37,Canada,Padrao,500.89,Acao,2024-08-22
302,41,Australia,Basico,615.23,Drama,2025-02-20
303,45,Australia,Premium,592.32,Acao,2024-09-14
304,36,Canada,Premium,541.9,Horror,2024-04-10
305,35,India,Basico,793.71,Comedia,2024-04-21
306,59,Canada,Premium,263.71,Ficcao cientifica,2024-08-15
307,22,Japan,Padrao,797.93,Drama,2024-12-01
308,32,Brazil,Basico,32.21,Acao,2024-04-25
309,40,Canada,Basico,699.95,Ficcao cientifica,2024-04-16
310,15,UK,Basico,377.09,Comedia,2024-03-09
311,58,Canada,Premium,364.05,Ficcao cientifica,2024-07-22
312,13,UK,Basico,723.87,Ficcao cientifica,2024-11-04
313,63,Australia,Premium,840.92,Romance,2025-02-07
314,60,Canada,Basico,479.0,Ficcao cientifica,2025-01-12
315,35,Brazil,Basico,843.53,Romance,2024-12-11
316,17,France,Padrao,214.9,Acao,2025-01-24
317,46,Mexico,Basico,780.43,Drama,2024-06-28
318,64,USA,Basico,998.4,Comedia,2024-08-10
319,28,Germany,Padrao,315.45,Ficcao cientifica,2024-03-28
320,55,India,Basico,349.26,Comedia,2024-07-12
321,47,Germany,Padrao,176.79,Comedia,2024-03-14
322,17,Brazil,Basico,7.28,Romance,2024-05-31
323,62,Australia,Basico,319.23,Ficcao cientifica,2025-02-21
324,58,Canada,Basico,337.72,Acao,2024-12-11
325,78,UK,Padrao,626.01,Ficcao cientifica,2025-02-16
326,26,USA,Padrao,112.89,Romance,2024-05-22
327,67,Mexico,Padrao,381.55,Comedia,2024-10-07
328,59,Canada,Padrao,120.57,Comedia,2024-06-27
329,71,UK,Basico,468.16,Horror,2024-04-21
330,37,USA,Padrao,749.93,Romance,2025-01-25
331,73,Australia,Basico,223.84,Acao,2025-02-13
332,39,USA,Premium,48.85,Documentario,2024-07-11
333,65,USA,Basico,251.81,Documentario,2024-08-16
334,61,Japan,Basico,162.42,Drama,2024-04-08
335,74,Canada,Premium,490.43,Drama,2024-03-17
336,14,Mexico,Basico,207.47,Documentario,2024-06-22
337,25,USA,Padrao,153.17,Acao,2024-04-23
338,46,Mexico,Premium,897.25,Documentario,2024-10-27
339,17,Germany,Padrao,613.95,Comedia,2024-04-14
340,33,Brazil,Premium,671.95,Documentario,2024-11-03
341,40,Canada,Basico,818.51,Ficcao cientifica,2025-02-04
342,24,USA,Premium,468.27,Horror,2024-06-06
343,47,Australia,Padrao,861.25,Ficcao cientifica,2024-10-10
344,53,India,Premium,963.18,Comedia,2024-06-20
345,64,Australia,Basico,449.58,Documentario,2024-12-28
346,71,Australia,Basico,619.84,Acao,2025-01-01
347,34,Mexico,Basico,269.72,Documentario,2024-04-28
348,49,Australia,Basico,970.76,Romance,2024-11-17
349,22,Canada,Basico,597.58,Drama,2025-01-30
350,65,Japan,Basico,708.15,Romance,2024-04-17
351,61,France,Basico,474.49,Acao,2025-03-01
352,20,India,Premium,648.5,Acao,2025-01-20
353,74,Mexico,Basico,535.32,Romance,2024-10-17
354,78,UK,Padrao,910.2,Drama,2024-06-04
355,35,Japan,Premium,532.11,Comedia,2024-06-04
356,72,France,Padrao,0.22,Comedia,2024-09-23
357,26,USA,Basico,346.62,Acao,2025-01-14
358,22,Brazil,Premium,119.6,Documentario,2024-05-05
359,50,India,Basico,950.44,Acao,2024-11-22
360,52,Japan,Padrao,869.3,Ficcao cientifica,2024-06-07
361,50,UK,Premium,543.09,Documentario,2025-02-02
362,14,Brazil,Premium,320.11,Acao,2025-01-08
363,37,India,Premium,939.67,Documentario,2024-05-02
364,16,USA,Basico,582.57,Romance,2024-11-05
365,55,Japan,Padrao,259.84,Acao,2024-07-18
366,32,Australia,Premium,133.72,Documentario,2024-03-18
367,52,Mexico,Basico,776.96,Acao,2024-04-30
368,25,USA,Basico,131.49,Documentario,2024-08-25
369,65,India,Basico,706.12,Romance,2024-11-04
370,23,Canada,Padrao,915.1,Ficcao cientifica,2025-02-09
371,48,Australia,Basico,241.08,Ficcao cientifica,2024-04-21
372,44,USA,Premium,12.43,Acao,2024-05-13
373,48,Australia,Basico,415.76,Ficcao cientifica,2024-08-12
374,71,Canada,Basico,26.48,Comedia,2024-03-19
375,41,Germany,Basico,617.65,Documentario,2024-10-19
376,36,Canada,Padrao,801.94,Horror,2024-04-18
377,27,Australia,Basico,1.33,Drama,2024-11-18
378,26,India,Basico,451.46,Acao,2024-09-24
379,28,India,Premium,25.86,Comedia,2025-02-14
380,54,Brazil,Premium,659.95,Comedia,2024-05-14
381,62,Australia,Basico,696.69,Documentario,2025-01-24
382,70,Canada,Basico,175.47,Comedia,2024-08-20
383,25,Mexico,Premium,961.36,Romance,2024-11-01
384,46,Germany,Basico,897.39,Comedia,2024-12-19
385,74,Japan,Premium,991.1,Romance,2024-11-05
386,31,India,Basico,332.51,Romance,2024-07-09
387,40,USA,Premium,202.44,Acao,2024-09-24
388,50,France,Padrao,500.36,Horror,2024-10-14
389,57,France,Padrao,910.14,Horror,2024-10-07
390,77,USA,Padrao,897.85,Drama,2024-06-04
391,50,Japan,Premium,402.75,Horror,2024-04-06
392,43,Japan,Basico,570.27,Documentario,2024-07-25
393,38,Australia,Basico,437.14,Romance,2024-11-24
394,23,Germany,Padrao,335.11,Documentario,2025-01-30
395,73,Mexico,Basico,186.39,Horror,2024-11-08
396,58,Brazil,Premium,957.43,Romance,2025-02-11
397,28,Mexico,Premium,463.06,Drama,2025-01-14
398,75,Japan,Premium,6.07,Ficcao cientifica,2024-08-02
399,70,Brazil,Basico,99.63,Ficcao cientifica,2024-07-28
400,29,France,Premium,30.07,Ficcao cientifica,2025-01-17
401,64,Mexico,Premium,404.19,Horror,2025-03-01
402,56,Canada,Basico,234.17,Drama,2024-04-02
403,45,Canada,Premium,501.94,Comedia,2024-09-18
404,31,Australia,Padrao,214.05,Horror,2025-01-21
405,45,Canada,Padrao,938.84,Horror,2024-07-05
406,61,France,Premium,670.45,Romance,2025-01-08
407,61,Brazil,Padrao,403.41,Documentario,2024-12-16
408,37,USA,Premium,876.06,Horror,2024-05-30
409,49,UK,Premium,601.25,Drama,2024-08-23
410,49,Australia,Premium,317.94,Ficcao cientifica,2024-04-16
411,56,Canada,Premium,410.65,Acao,2025-01-25
412,55,Japan,Padrao,934.73,Documentario,2024-10-21
413,34,USA,Basico,719.62,Horror,2024-05-14
414,58,Canada,Basico,90.56,Comedia,2024-05-10
415,35,India,Premium,154.46,Ficcao cientifica,2024-06-16
416,35,France,Padrao,130.55,Romance,2024-09-25
417,31,Mexico,Padrao,625.88,Romance,2024-03-20
418,66,Mexico,Padrao,577.39,Romance,2024-07-16
419,78,Canada,Premium,414.82,Comedia,2025-03-03
420,33,Germany,Basico,368.98,Comedia,2024-08-23
421,42,Canada,Padrao,43.63,Documentario,2024-12-13
422,52,India,Padrao,100.6,Romance,2024-05-24
423,67,Brazil,Premium,304.44,Ficcao cientifica,2024-06-07
424,13,France,Padrao,389.26,Ficcao cientifica,2025-01-30
425,52,Mexico,Basico,244.03,Acao,2024-08-13
426,62,Canada,Basico,360.95,Romance,2024-03-27
427,61,Mexico,Premium,420.02,Romance,2024-03-08
428,32,Australia,Premium,111.62,Ficcao cientifica,2024-08-07
429,40,USA,Premium,456.17,Documentario,2025-01-21
430,61,Germany,Basico,289.08,Comedia,2024-10-18
431,39,Mexico,Padrao,15.85,Horror,2024-06-15
432,20,India,Premium,744.85,Documentario,2025-01-18
433,74,Germany,Basico,97.11,Acao,2025-03-07
434,15,Australia,Premium,44.22,Horror,2024-11-05
435,58,USA,Premium,819.4,Drama,2024-08-25
436,80,Germany,Premium,858.94,Ficcao cientifica,2024-07-20
437,21,Japan,Padrao,891.2,Drama,2024-12-05
438,80,Brazil,Basico,533.67,Romance,2024-03-14
439,13,France,Padrao,735.23,Documentario,2024-12-20
440,77,USA,Premium,594.64,Comedia,2024-03-30
441,54,Germany,Premium,318.05,Ficcao cientifica,2024-05-30
442,52,Canada,Premium,113.71,Horror,2024-12-07
443,58,Australia,Premium,520.53,Ficcao cientifica,2024-06-19
444,20,Japan,Padrao,414.2,Ficcao cientifica,2024-12-04
445,52,Australia,Padrao,58.52,Ficcao cientifica,2024-11-07
446,69,Japan,Padrao,26.4,Documentario,2024-06-19
447,73,India,Premium,159.9,Comedia,2024-08-07
448,38,UK,Padrao,207.95,Horror,2024-12-20
449,34,Canada,Premium,388.56,Documentario,2024-05-15
450,68,Brazil,Premium,946.76,Documentario,2024-04-05
451,70,USA,Padrao,748.33,Acao,2024-07-31
452,67,Brazil,Premium,768.38,Comedia,2024-04-03
453,70,USA,Padrao,292.98,Acao,2024-04-04
454,46,Brazil,Premium,809.45,Ficcao cientifica,2024-03-16
455,35,Mexico,Padrao,680.82,Ficcao cientifica,2024-07-28
456,40,Mexico,Padrao,234.39,Ficcao cientifica,2025-02-02
457,66,Brazil,Padrao,988.07,Comedia,2024-11-06
458,62,Japan,Premium,823.18,Romance,2024-03-17
459,17,Mexico,Basico,385.26,Drama,2024-06-27
460,43,Germany,Basico,237.81,Documentario,2024-10-29
461,58,USA,Basico,263.72,Ficcao cientifica,2024-04-13
462,21,Japan,Premium,344.23,Drama,2025-02-24
463,37,Germany,Padrao,551.87,Acao,2024-03-15
464,44,Canada,Basico,485.07,Romance,2025-01-11
465,62,France,Premium,170.81,Comedia,2025-02-08
466,71,India,Padrao,649.62,Ficcao cientifica,2024-05-24
467,18,Japan,Padrao,518.56,Documentario,2024-03-20
468,64,Mexico,Padrao,72.86,Documentario,2024-04-12
469,31,Mexico,Premium,627.98,Ficcao cientifica,2024-11-15
470,49,Canada,Premium,719.6,Acao,2024-04-19
471,20,USA,Premium,25.82,Romance,2024-05-11
472,49,Australia,Padrao,532.75,Romance,2024-08-14
473,32,Japan,Premium,169.91,Documentario,2025-01-09
474,61,UK,Premium,654.79,Drama,2025-01-28
475,58,Canada,Premium,450.09,Comedia,2024-04-21
476,46,Australia,Padrao,973.64,Documentario,2024-09-20
477,40,Germany,Padrao,338.57,Horror,2024-07-22
478,18,France,Premium,980.58,Drama,2025-02-23
479,29,India,Padrao,61.21,Ficcao cientifica,2024-07-11
480,41,USA,Padrao,597.39,Romance,2024-08-27
481,29,France,Premium,343.08,Drama,2025-02-24
482,62,Australia,Premium,88.54,Documentario,2024-05-28
483,42,France,Premium,4.21,Documentario,2024-04-17
484,64,Brazil,Padrao,860.4,Documentario,2024-08-29
485,44,France,Padrao,257.81,Horror,2024-11-01
486,17,USA,Basico,390.03,Acao,2024-12-21
487,34,UK,Padrao,92.52,Documentario,2024-12-24
488,52,USA,Basico,419.25,Acao,2025-01-22
489,23,Brazil,Padrao,150.4,Romance,2024-11-24
490,52,Brazil,Basico,59.19,Comedia,2024-12-12
491,60,Australia,Padrao,832.05,Comedia,2024-03-22
492,67,Mexico,Basico,365.32,Romance,2025-02-22
493,38,France,Premium,140.94,Horror,2024-10-02
