ID_Cliente,Idade,Genero,Ganho_Anual (USD),Renda_Mensal,Nivel_de_educacao,Tempo_de_Uso (Horas/Dias),Redes_Sociais,Nivel_de_Influencia,Decisao_de_Compra,Categoria_do_Produto,Produto,Total_Gasto (USD),Nome_da_Marca,Cidade
15,29,Feminino,51000,4250.0,Bacharelado,3.8,"TikTok, Snapchat",Muito Influenciavel,Sim,Beauty,Lipstick,90,"Sephora, L'Oréal",Chicago
16,34,Masculino,70000,5833.33,Bacharelado,2.5,"Facebook, Instagram",Alguma Influencia,Sim,Electronics,Tablet,700,"Apple, Microsoft",New York
17,28,Feminino,55000,4583.33,Mestrado,2.0,"Instagram, Pinterest",Alguma Influencia,Sim,Home Decor,Wall Art,220,"IKEA, Wayfair",Austin
18,36,Masculino,68000,5666.67,Bacharelado,2.9,"Twitter, LinkedIn",Muito Influenciavel,Sim,Fitness,Gym Equipment,180,"Nike, Under Armour",San Francisco
19,33,Feminino,62000,5166.67,Bacharelado,3.1,"Instagram, TikTok",Muito Influenciavel,Sim,Beauty,Perfume,110,"Sephora, Clinique",Miami
20,23,Masculino,42000,3500.0,Ensino Medio,4.2,"Snapchat, Facebook",Alguma Influencia,Sim,Electronics,Headphones,400,"Sony, LG",Chicago
21,29,Feminino,58000,4833.33,Bacharelado,2.3,"Instagram, Twitter",Alguma Influencia,Sim,Fashion,Jeans,140,"Levi's, H&M",Los Angeles
22,31,Masculino,62000,5166.67,Bacharelado,2.7,"Facebook, Instagram",Muito Influenciavel,Sim,Electronics,Camera,900,"Canon, Nikon",San Francisco
23,26,Masculino,48000,4000.0,Bacharelado,2.5,"TikTok, Snapchat",Alguma Influencia,Sim,Beauty,Haircare,70,"Pantene, L'Oréal",Chicago
24,27,Feminino,52000,4333.33,Mestrado,3.5,"Instagram, Pinterest",Muito Influenciavel,Sim,Home Decor,Lighting,250,"IKEA, Philips",Miami
25,34,Masculino,72000,6000.0,Doutorado,2.8,"LinkedIn, Twitter",Alguma Influencia,Sim,Fitness,Dumbbells,120,"Bowflex, NordicTrack",Seattle
26,30,Feminino,55000,4583.33,Mestrado,2.8,"Instagram, TikTok",Alguma Influencia,Sim,Fashion,Handbag,250,"Coach, Michael Kors",New York
27,28,Masculino,48000,4000.0,Bacharelado,3.0,"Facebook, Instagram",Muito Influenciavel,Sim,Electronics,Gaming Console,400,"Sony, Microsoft",Los Angeles
28,25,Feminino,46000,3833.33,Bacharelado,2.7,"TikTok, Snapchat",Alguma Influencia,Sim,Beauty,Skincare,90,"Neutrogena, CeraVe",Austin
29,27,Masculino,52000,4333.33,Bacharelado,2.2,"Instagram, Twitter",Alguma Influencia,Sim,Home Decor,Furniture,400,"IKEA, Ashley Furniture",Boston
30,29,Feminino,54000,4500.0,Mestrado,2.9,"Facebook, TikTok",Muito Influenciavel,Sim,Fashion,Sneakers,180,"Nike, Puma",Miami
31,33,Masculino,62000,5166.67,Doutorado,3.1,"LinkedIn, Twitter",Muito Influenciavel,Sim,Electronics,Smartwatch,300,"Apple, Garmin",San Francisco
32,26,Feminino,46000,3833.33,Bacharelado,2.6,"Instagram, TikTok",Muito Influenciavel,Sim,Beauty,Perfume,70,"Chanel, Dior",Los Angeles
33,40,Masculino,78000,6500.0,Mestrado,2.2,"Twitter, LinkedIn",Alguma Influencia,Sim,Fitness,Treadmill,1200,"NordicTrack, Peloton",Houston
34,24,Feminino,43000,3583.33,Ensino Medio,3.3,"Facebook, Snapchat",Nao Influenciavel,Sim,N/D,N/D,0,N/D,Chicago
35,29,Masculino,58000,4833.33,Bacharelado,2.9,"Instagram, Twitter",Alguma Influencia,Sim,Fashion,Watch,350,"Rolex, Casio",New York
36,35,Feminino,68000,5666.67,Mestrado,3.2,"Facebook, Pinterest",Muito Influenciavel,Sim,Home Decor,Curtains,80,"IKEA, Target",Austin
37,33,Masculino,70000,5833.33,Bacharelado,2.7,"Instagram, TikTok",Muito Influenciavel,Sim,Electronics,Headset,150,"Sony, Bose",San Diego
38,27,Feminino,48000,4000.0,Bacharelado,2.5,"TikTok, Instagram",Alguma Influencia,Sim,Beauty,Nail Polish,40,"OPI, Essie",Chicago
39,28,Masculino,52000,4333.33,Mestrado,2.9,"Facebook, Twitter",Alguma Influencia,Sim,Fitness,Yoga Mat,20,"Gaiam, Manduka",Boston
40,29,Feminino,54000,4500.0,Mestrado,3.0,"Instagram, Pinterest",Muito Influenciavel,Sim,Fashion,Sunglasses,100,"Ray-Ban, Oakley",Miami
41,32,Masculino,66000,5500.0,Doutorado,2.8,"LinkedIn, Twitter",Muito Influenciavel,Sim,Electronics,Soundbar,300,"Bose, Sonos",San Francisco
42,26,Feminino,48000,4000.0,Bacharelado,2.4,"Facebook, TikTok",Alguma Influencia,Sim,Home Decor,Kitchen Appliances,350,"KitchenAid, Cuisinart",Phoenix
43,30,Masculino,58000,4833.33,Bacharelado,2.5,"Snapchat, Instagram",Alguma Influencia,Sim,Fashion,Suit,450,"Brooks Brothers, Zara",Austin
44,27,Feminino,52000,4333.33,Mestrado,2.3,"Instagram, Pinterest",Muito Influenciavel,Sim,Beauty,Mascara,40,"Maybelline, L'Oréal",Los Angeles
45,38,Masculino,72000,6000.0,Doutorado,2.9,"Facebook, LinkedIn",Alguma Influencia,Sim,Fitness,Home Gym Equipment,800,"Bowflex, NordicTrack",Seattle
46,28,Feminino,55000,4583.33,Mestrado,2.2,"Instagram, Twitter",Muito Influenciavel,Sim,Home Decor,Rugs,120,"IKEA, Wayfair",Atlanta
47,36,Masculino,70000,5833.33,Bacharelado,3.1,"Twitter, Instagram",Muito Influenciavel,Sim,Electronics,Smart Speaker,100,"Amazon Echo, Google Home",New York
48,29,Feminino,54000,4500.0,Mestrado,2.7,"TikTok, Instagram",Alguma Influencia,Sim,Beauty,Foundation,30,"Maybelline, CoverGirl",Miami
49,32,Masculino,62000,5166.67,Bacharelado,2.6,"Facebook, Twitter",Alguma Influencia,Sim,Fashion,Sunglasses,200,"Ray-Ban, Oakley",Boston
50,28,Feminino,48000,4000.0,Bacharelado,2.1,"Instagram, TikTok",Muito Influenciavel,Sim,Home Decor,Curtains,60,"IKEA, Target",Los Angeles
51,31,Masculino,60000,5000.0,Bacharelado,2.9,"Twitter, Facebook",Alguma Influencia,Sim,Electronics,Gaming Console,450,"Sony, Microsoft",Houston
52,29,Feminino,58000,4833.33,Mestrado,2.7,"Instagram, Pinterest",Muito Influenciavel,Sim,Beauty,Lipstick,40,"MAC Cosmetics, Revlon",Seattle
53,33,Masculino,68000,5666.67,Doutorado,2.8,"LinkedIn, TikTok",Muito Influenciavel,Sim,Fitness,Treadmill,1100,"NordicTrack, Peloton",San Francisco
54,28,Feminino,50000,4166.67,Bacharelado,2.5,"TikTok, Snapchat",Alguma Influencia,Sim,Fashion,Handbag,200,"Coach, Michael Kors",Los Angeles
55,29,Masculino,52000,4333.33,Bacharelado,2.2,"Instagram, Twitter",Alguma Influencia,Sim,Home Decor,Furniture,420,"IKEA, West Elm",Boston
56,26,Feminino,47000,3916.67,Bacharelado,2.3,"Facebook, TikTok",Alguma Influencia,Sim,Electronics,Bluetooth Speaker,70,"JBL, Bose",Phoenix
57,28,Masculino,52000,4333.33,Bacharelado,2.0,"Instagram, Twitter",Alguma Influencia,Sim,Fashion,Watch,300,"Rolex, Seiko",Los Angeles
58,32,Feminino,59000,4916.67,Mestrado,2.5,"Pinterest, Instagram",Alguma Influencia,Sim,Home Decor,Wall Clock,50,"IKEA, Howard Miller",Seattle
59,34,Masculino,65000,5416.67,Doutorado,2.8,"Twitter, LinkedIn",Muito Influenciavel,Sim,Fitness,Elliptical Machine,900,"NordicTrack, Sole Fitness",Houston
60,28,Feminino,48000,4000.0,Bacharelado,2.2,"Snapchat, Instagram",Alguma Influencia,Sim,Beauty,Skincare,80,"Neutrogena, CeraVe",Chicago
61,27,Masculino,51000,4250.0,Bacharelado,2.6,"Instagram, Twitter",Alguma Influencia,Sim,Fashion,Hoodie,70,"Nike, Adidas",New York
62,33,Feminino,62000,5166.67,Mestrado,2.9,"Facebook, TikTok",Muito Influenciavel,Sim,Home Decor,Wall Art,150,"IKEA, Wayfair",Los Angeles
63,29,Masculino,55000,4583.33,Bacharelado,2.2,"TikTok, Instagram",Muito Influenciavel,Sim,Electronics,Wireless Earbuds,100,"Apple, Sony",Miami
64,30,Feminino,57000,4750.0,Mestrado,3.2,"Instagram, Pinterest",Muito Influenciavel,Sim,Beauty,Lip Gloss,40,"Fenty Beauty, NYX",Austin
65,36,Masculino,70000,5833.33,Bacharelado,2.7,"Facebook, Twitter",Alguma Influencia,Sim,Fitness,Weight Bench,180,"Bowflex, Weider",San Diego
66,28,Feminino,48000,4000.0,Bacharelado,2.5,"TikTok, Snapchat",Alguma Influencia,Sim,Fashion,Dress,120,"Zara, Forever 21",Chicago
67,31,Masculino,63000,5250.0,Bacharelado,2.8,"Instagram, Facebook",Muito Influenciavel,Sim,Electronics,Drone,350,"DJI, GoPro",New York
68,29,Feminino,54000,4500.0,Mestrado,2.7,"Pinterest, Instagram",Alguma Influencia,Sim,Home Decor,Throw Pillows,60,"IKEA, Target",Los Angeles
69,27,Masculino,52000,4333.33,Bacharelado,2.3,"Twitter, TikTok",Alguma Influencia,Sim,Fitness,Resistance Bands,30,"Bodylastics, Fit Simplify",Seattle
70,29,Feminino,55000,4583.33,Bacharelado,2.4,"Instagram, Twitter",Alguma Influencia,Sim,Beauty,Hair Dryer,50,"Dyson, Conair",Miami
71,32,Masculino,63000,5250.0,Bacharelado,2.5,"Instagram, Facebook",Alguma Influencia,Sim,Electronics,Laptop,900,"Dell, HP",San Francisco
72,28,Feminino,48000,4000.0,Bacharelado,2.0,"TikTok, Snapchat",Alguma Influencia,Sim,Beauty,Nail Polish,20,"Essie, OPI",Chicago
73,30,Masculino,56000,4666.67,Bacharelado,2.7,"Facebook, Twitter",Alguma Influencia,Sim,Home Decor,Bedding,150,"IKEA, Target",Phoenix
74,33,Feminino,62000,5166.67,Mestrado,2.8,"Instagram, TikTok",Muito Influenciavel,Sim,Fashion,T-shirt,30,"Uniqlo, Gap",Austin
75,27,Masculino,51000,4250.0,Bacharelado,2.2,"Twitter, Snapchat",Alguma Influencia,Sim,Electronics,Smartphone,750,"Samsung, Google",New York
76,28,Feminino,50000,4166.67,Bacharelado,2.3,"Instagram, TikTok",Alguma Influencia,Sim,Beauty,Mascara,25,"Maybelline, L'Oréal",Los Angeles
77,35,Masculino,68000,5666.67,Bacharelado,3.0,"LinkedIn, Twitter",Muito Influenciavel,Sim,Fitness,Home Gym Equipment,1000,"Bowflex, NordicTrack",Seattle
78,29,Feminino,54000,4500.0,Mestrado,2.5,"Facebook, Instagram",Muito Influenciavel,Sim,Home Decor,Lighting,200,"Philips, IKEA",Miami
79,31,Masculino,60000,5000.0,Bacharelado,2.9,"Instagram, Twitter",Muito Influenciavel,Sim,Electronics,Smartwatch,400,"Apple, Garmin",San Francisco
80,26,Feminino,46000,3833.33,Bacharelado,2.2,"TikTok, Snapchat",Alguma Influencia,Sim,Fashion,Jeans,60,"Levi's, H&M",Chicago
81,28,Masculino,52000,4333.33,Mestrado,2.8,"Instagram, Pinterest",Alguma Influencia,Sim,Beauty,Skincare,70,"Neutrogena, CeraVe",New York
82,29,Feminino,54000,4500.0,Mestrado,2.9,"Facebook, TikTok",Muito Influenciavel,Sim,Fitness,Yoga Mat,25,"Gaiam, Manduka",Austin
83,33,Masculino,62000,5166.67,Bacharelado,2.7,"Twitter, LinkedIn",Alguma Influencia,Sim,Electronics,Soundbar,250,"Bose, Sonos",Houston
84,27,Feminino,52000,4333.33,Mestrado,2.6,"Instagram, Pinterest",Muito Influenciavel,Sim,Home Decor,Wall Art,120,"IKEA, Wayfair",Los Angeles
85,32,Masculino,66000,5500.0,Doutorado,3.2,"LinkedIn, Twitter",Muito Influenciavel,Sim,Beauty,Lip Gloss,35,"Fenty Beauty, NYX",San Diego
86,25,Feminino,42000,3500.0,Ensino Medio,4.0,"Snapchat, Instagram",Nao Influenciavel,Nao,N/D,N/D,0,N/D,Boston
87,29,Masculino,58000,4833.33,Bacharelado,2.4,"TikTok, Snapchat",Alguma Influencia,Sim,Electronics,Bluetooth Speaker,50,"JBL, Sony",Seattle
88,30,Feminino,57000,4750.0,Mestrado,3.0,"Facebook, Instagram",Muito Influenciavel,Sim,Fashion,Dress,80,"Zara, H&M",Chicago
89,34,Masculino,70000,5833.33,Bacharelado,2.8,"Instagram, Twitter",Alguma Influencia,Sim,Home Decor,Throw Pillows,40,"IKEA, Target",New York
90,23,Feminino,36000,3000.0,Ensino Medio,4.5,"TikTok, Snapchat",Nao Influenciavel,Nao,N/D,N/D,0,N/D,Los Angeles
91,27,Masculino,52000,4333.33,Bacharelado,2.1,"Facebook, Twitter",Alguma Influencia,Sim,Electronics,Gaming Console,350,"Sony, Microsoft",Seattle
92,28,Feminino,48000,4000.0,Bacharelado,2.2,"Instagram, Pinterest",Alguma Influencia,Sim,Fitness,Resistance Bands,20,"Bodylastics, Fit Simplify",Boston
93,32,Masculino,64000,5333.33,Bacharelado,2.9,"Twitter, Instagram",Muito Influenciavel,Sim,Beauty,Foundation,25,"Maybelline, CoverGirl",Miami
94,27,Masculino,53000,4416.67,Bacharelado,2.4,"TikTok, Snapchat",Alguma Influencia,Sim,Home Decor,Kitchen Appliances,400,"KitchenAid, Cuisinart",Phoenix
95,29,Feminino,55000,4583.33,Mestrado,2.6,"Instagram, Facebook",Alguma Influencia,Sim,Fashion,Sunglasses,50,"Ray-Ban, Oakley",San Francisco
96,33,Masculino,67000,5583.33,Doutorado,3.1,"LinkedIn, Twitter",Muito Influenciavel,Sim,Electronics,Camera,800,"Canon, Nikon",Los Angeles
97,28,Feminino,49000,4083.33,Bacharelado,2.7,"Facebook, TikTok",Alguma Influencia,Sim,Home Decor,Rugs,90,"IKEA, Wayfair",Seattle
98,25,Masculino,44000,3666.67,Bacharelado,2.3,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Smart Speaker,60,"Amazon Echo, Google Home",Chicago
99,27,Feminino,51000,4250.0,Mestrado,2.8,"Pinterest, Instagram",Muito Influenciavel,Sim,Beauty,Lipstick,30,"MAC Cosmetics, Revlon",Boston
100,30,Masculino,58000,4833.33,Bacharelado,2.5,"Twitter, Snapchat",Alguma Influencia,Sim,Fitness,Dumbbells,40,"Bowflex, NordicTrack",Miami
101,32,Masculino,63000,5250.0,Bacharelado,2.4,"Instagram, Facebook",Alguma Influencia,Sim,Fashion,Sneakers,90,"Nike, Adidas",Austin
102,29,Feminino,54000,4500.0,Mestrado,2.7,"TikTok, Snapchat",Alguma Influencia,Sim,Home Decor,Curtains,40,"IKEA, Target",Miami
103,35,Masculino,68000,5666.67,Bacharelado,2.9,"Facebook, Twitter",Muito Influenciavel,Sim,Electronics,Laptop,800,"Apple, Dell",Los Angeles
104,28,Feminino,48000,4000.0,Bacharelado,2.2,"Instagram, Pinterest",Alguma Influencia,Sim,Beauty,Mascara,15,"Maybelline, L'Oréal",New York
105,31,Masculino,60000,5000.0,Bacharelado,2.6,"Twitter, Snapchat",Alguma Influencia,Sim,Fitness,Treadmill,850,"NordicTrack, Peloton",Chicago
106,27,Feminino,52000,4333.33,Bacharelado,2.8,"Instagram, TikTok",Alguma Influencia,Sim,Home Decor,Wall Art,60,"IKEA, Wayfair",Boston
107,32,Masculino,62000,5166.67,Bacharelado,2.5,"Facebook, LinkedIn",Muito Influenciavel,Sim,Fashion,Jeans,70,"Levi's, H&M",Seattle
108,29,Feminino,55000,4583.33,Mestrado,3.0,"Pinterest, Instagram",Muito Influenciavel,Sim,Beauty,Lipstick,25,"MAC Cosmetics, Revlon",San Francisco
109,33,Masculino,64000,5333.33,Doutorado,3.1,"Twitter, LinkedIn",Muito Influenciavel,Sim,Home Decor,Throw Pillows,45,"IKEA, Target",Houston
110,26,Feminino,46000,3833.33,Bacharelado,2.3,"TikTok, Snapchat",Alguma Influencia,Sim,Electronics,Smartphone,750,"Samsung, iPhone",Phoenix
111,28,Masculino,52000,4333.33,Mestrado,2.7,"Instagram, Pinterest",Alguma Influencia,Sim,Fitness,Yoga Mat,25,"Gaiam, Manduka",Miami
112,29,Feminino,54000,4500.0,Mestrado,2.8,"Facebook, TikTok",Muito Influenciavel,Sim,Fashion,Dress,50,"Zara, H&M",Los Angeles
113,33,Masculino,62000,5166.67,Bacharelado,2.5,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Smart Speaker,70,"Amazon Echo, Google Home",Seattle
114,27,Feminino,52000,4333.33,Mestrado,2.9,"Pinterest, Instagram",Muito Influenciavel,Sim,Home Decor,Bedding,110,"IKEA, Target",Chicago
115,32,Masculino,63000,5250.0,Doutorado,3.2,"LinkedIn, Twitter",Muito Influenciavel,Sim,Beauty,Foundation,35,"Fenty Beauty, Maybelline",New York
116,25,Feminino,44000,3666.67,Bacharelado,2.1,"Snapchat, Instagram",Alguma Influencia,Sim,Fitness,Dumbbells,30,"Bowflex, NordicTrack",Austin
117,29,Masculino,58000,4833.33,Bacharelado,2.4,"TikTok, Snapchat",Alguma Influencia,Sim,Home Decor,Lighting,80,"Philips, IKEA",San Diego
118,30,Feminino,57000,4750.0,Mestrado,2.9,"Facebook, Instagram",Muito Influenciavel,Sim,Fashion,T-shirt,20,"Uniqlo, Gap",Boston
119,34,Masculino,70000,5833.33,Bacharelado,3.1,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Camera,600,"Canon, Sony",Miami
120,23,Feminino,36000,3000.0,Ensino Medio,4.0,"TikTok, Snapchat",Nao Influenciavel,Nao,N/D,N/D,0,N/D,Los Angeles
121,27,Masculino,52000,4333.33,Bacharelado,2.2,"Instagram, Facebook",Alguma Influencia,Sim,Fashion,Sunglasses,60,"Ray-Ban, Oakley",Seattle
122,30,Feminino,58000,4833.33,Mestrado,2.6,"Pinterest, Instagram",Alguma Influencia,Sim,Home Decor,Rugs,70,"IKEA, Wayfair",Austin
123,29,Masculino,55000,4583.33,Bacharelado,2.4,"TikTok, Snapchat",Alguma Influencia,Sim,Electronics,Wireless Earbuds,50,"Apple, Sony",New York
124,33,Feminino,63000,5250.0,Doutorado,2.9,"Facebook, Twitter",Muito Influenciavel,Sim,Beauty,Lip Gloss,25,"Fenty Beauty, NYX",San Francisco
125,28,Masculino,45000,3750.0,Bacharelado,2.2,"Instagram, Pinterest",Alguma Influencia,Sim,Fitness,Home Gym Equipment,900,"Bowflex, NordicTrack",Chicago
126,27,Feminino,49000,4083.33,Bacharelado,2.5,"TikTok, Snapchat",Alguma Influencia,Sim,Home Decor,Throw Pillows,35,"IKEA, Target",Los Angeles
127,32,Masculino,62000,5166.67,Bacharelado,2.8,"Instagram, TikTok",Muito Influenciavel,Sim,Fashion,Hoodie,40,"Nike, Adidas",Seattle
128,29,Feminino,54000,4500.0,Mestrado,3.0,"Facebook, Instagram",Muito Influenciavel,Sim,Electronics,Smart Speaker,70,"Amazon Echo, Google Home",Miami
129,33,Masculino,64000,5333.33,Doutorado,3.1,"Twitter, LinkedIn",Muito Influenciavel,Sim,Home Decor,Wall Clock,40,"IKEA, Howard Miller",Houston
130,26,Feminino,46000,3833.33,Bacharelado,2.3,"Instagram, TikTok",Alguma Influencia,Sim,Electronics,Gaming Console,400,"Sony, Microsoft",Phoenix
131,28,Masculino,52000,4333.33,Mestrado,2.7,"Instagram, Pinterest",Alguma Influencia,Sim,Fitness,Resistance Bands,15,"Bodylastics, Fit Simplify",Miami
132,29,Feminino,54000,4500.0,Mestrado,2.8,"Facebook, TikTok",Muito Influenciavel,Sim,Fashion,Dress,25,"Zara, H&M",Los Angeles
133,33,Masculino,62000,5166.67,Bacharelado,2.5,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Smartwatch,120,"Apple, Garmin",Boston
134,27,Feminino,52000,4333.33,Mestrado,2.9,"Pinterest, Instagram",Muito Influenciavel,Sim,Home Decor,Wall Art,50,"IKEA, Wayfair",Seattle
135,32,Masculino,63000,5250.0,Doutorado,3.2,"LinkedIn, Twitter",Muito Influenciavel,Sim,Beauty,Mascara,20,"Maybelline, L'Oréal",San Diego
136,25,Feminino,44000,3666.67,Bacharelado,2.1,"Snapchat, Instagram",Alguma Influencia,Sim,Home Decor,Bedding,70,"IKEA, Target",Chicago
137,29,Masculino,58000,4833.33,Bacharelado,2.4,"TikTok, Snapchat",Alguma Influencia,Sim,Fashion,Jeans,50,"Levi's, H&M",New York
138,30,Feminino,57000,4750.0,Mestrado,2.9,"Facebook, Instagram",Muito Influenciavel,Sim,Fitness,Yoga Mat,15,"Gaiam, Manduka",Austin
139,34,Masculino,70000,5833.33,Bacharelado,3.1,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Wireless Earbuds,40,"Apple, Sony",Los Angeles
140,23,Feminino,36000,3000.0,Ensino Medio,4.0,"TikTok, Snapchat",Nao Influenciavel,Nao,N/D,N/D,0,N/D,New York
141,33,Masculino,64000,5333.33,Doutorado,2.8,"Twitter, Instagram",Alguma Influencia,Sim,Home Decor,Throw Pillows,40,"IKEA, Target",Phoenix
142,29,Feminino,54000,4500.0,Mestrado,2.7,"Instagram, TikTok",Alguma Influencia,Sim,Electronics,Soundbar,120,"Bose, Sonos",Miami
143,34,Masculino,70000,5833.33,Bacharelado,3.0,"Facebook, Twitter",Muito Influenciavel,Sim,Beauty,Lipstick,15,"MAC Cosmetics, Revlon",Los Angeles
144,28,Feminino,48000,4000.0,Bacharelado,2.5,"TikTok, Snapchat",Alguma Influencia,Sim,Fitness,Treadmill,800,"NordicTrack, Peloton",Seattle
145,27,Masculino,52000,4333.33,Bacharelado,2.2,"Twitter, Snapchat",Alguma Influencia,Sim,Fashion,Dress,40,"Zara, H&M",San Francisco
146,30,Feminino,57000,4750.0,Mestrado,2.9,"Pinterest, Instagram",Muito Influenciavel,Sim,Home Decor,Wall Art,25,"IKEA, Wayfair",Boston
147,33,Masculino,62000,5166.67,Bacharelado,2.6,"Facebook, LinkedIn",Alguma Influencia,Sim,Electronics,Smartwatch,200,"Apple, Garmin",Houston
148,28,Feminino,50000,4166.67,Bacharelado,2.4,"Instagram, Pinterest",Alguma Influencia,Sim,Fitness,Dumbbells,30,"Bowflex, NordicTrack",Chicago
149,27,Masculino,53000,4416.67,Bacharelado,2.7,"TikTok, Snapchat",Alguma Influencia,Sim,Home Decor,Kitchen Appliances,450,"KitchenAid, Cuisinart",Los Angeles
150,30,Feminino,58000,4833.33,Mestrado,2.8,"Facebook, Instagram",Muito Influenciavel,Sim,Fashion,Sneakers,70,"Nike, Adidas",Seattle
151,34,Masculino,68000,5666.67,Doutorado,2.9,"Twitter, LinkedIn",Muito Influenciavel,Sim,Electronics,Smartphone,900,"Samsung, iPhone",Miami
152,29,Feminino,54000,4500.0,Mestrado,2.5,"Instagram, TikTok",Alguma Influencia,Sim,Beauty,Mascara,20,"Maybelline, L'Oréal",Austin
153,33,Masculino,62000,5166.67,Bacharelado,2.7,"Instagram, Twitter",Alguma Influencia,Sim,Home Decor,Throw Pillows,50,"IKEA, Target",San Francisco
154,27,Feminino,52000,4333.33,Mestrado,2.6,"Pinterest, Instagram",Muito Influenciavel,Sim,Fashion,Jeans,60,"Levi's, H&M",Chicago
155,32,Masculino,63000,5250.0,Doutorado,3.0,"LinkedIn, Twitter",Muito Influenciavel,Sim,Electronics,Bluetooth Speaker,60,"JBL, Sony",New York
156,25,Feminino,44000,3666.67,Bacharelado,2.4,"Snapchat, Instagram",Alguma Influencia,Sim,Beauty,Skincare,35,"Neutrogena, CeraVe",Austin
157,29,Masculino,55000,4583.33,Bacharelado,2.8,"TikTok, Snapchat",Alguma Influencia,Sim,Electronics,Gaming Console,350,"Sony, Microsoft",Los Angeles
158,30,Feminino,57000,4750.0,Mestrado,2.9,"Facebook, Instagram",Muito Influenciavel,Sim,Home Decor,Curtains,40,"IKEA, Target",Seattle
159,34,Masculino,70000,5833.33,Bacharelado,3.1,"Instagram, Twitter",Alguma Influencia,Sim,Fitness,Yoga Mat,25,"Gaiam, Manduka",Miami
160,23,Feminino,36000,3000.0,Ensino Medio,4.0,"TikTok, Snapchat",Nao Influenciavel,Nao,N/D,N/D,0,N/D,Los Angeles
161,29,Masculino,55000,4583.33,Bacharelado,2.5,"Instagram, Facebook",Alguma Influencia,Sim,Electronics,Headphones,100,"Sony, Bose",San Diego
162,28,Feminino,48000,4000.0,Bacharelado,2.4,"TikTok, Snapchat",Alguma Influencia,Sim,Beauty,Nail Polish,10,"Essie, OPI",New York
163,30,Masculino,56000,4666.67,Bacharelado,2.6,"Facebook, Twitter",Alguma Influencia,Sim,Home Decor,Bedding,120,"IKEA, Target",Austin
164,33,Feminino,62000,5166.67,Mestrado,2.8,"Instagram, TikTok",Muito Influenciavel,Sim,Fashion,T-shirt,20,"Uniqlo, Gap",Seattle
165,27,Masculino,51000,4250.0,Bacharelado,2.3,"Twitter, Snapchat",Alguma Influencia,Sim,Electronics,Smartphone,800,"Samsung, iPhone",Miami
166,28,Feminino,52000,4333.33,Bacharelado,2.4,"Instagram, TikTok",Alguma Influencia,Sim,Beauty,Mascara,15,"Maybelline, L'Oréal",Chicago
167,32,Masculino,63000,5250.0,Bacharelado,2.7,"Facebook, LinkedIn",Muito Influenciavel,Sim,Fitness,Home Gym Equipment,900,"Bowflex, NordicTrack",New York
168,29,Feminino,54000,4500.0,Mestrado,2.5,"Pinterest, Instagram",Muito Influenciavel,Sim,Home Decor,Lighting,70,"Philips, IKEA",San Francisco
